,LONGITUDE,LATITUDE,SCIENTIFICNAME,SITEVISITID,STARTDATE,ENDDATE,SITEID,SITECODE,LOCALITYDETAILS,LOCATIONPRECISION,PROJECTID,PROJECTNAME,ORGANISATIONID,ORGANISATIONNAME,ORGANISATIONACRONYM,year
1430,152.5838198957,-28.2873905268,Phascolarctos cinereus,2057992.0,20200909000000,20201006000000.0,1779399.0,BR_MBNP012,"Drummer Break, about 1 km from the top, Mount Barney National Park, SEQ.",50.0,17643,Camera trapping - threatened species bushfire project,1,Queensland Parks and Wildlife Service,QPWS,2020
1431,152.5956277847,-28.2822536408,Phascolarctos cinereus,2058710.0,20200909000000,20201105000000.0,1779396.0,BR_MBNP009,"Top of a small north facing escarpment on a westerly ridge, 450m north of the uppermost part of Drummer Break, Mount Barney National Park, SEQ.",50.0,17643,Camera trapping - threatened species bushfire project,1,Queensland Parks and Wildlife Service,QPWS,2020
1437,152.423723536,-28.1991052278,Phascolarctos cinereus,2058046.0,20200917000000,20201222000000.0,1779309.0,BR_MRNP023,"North bank of Steamer Creek, 850m north-west of The Funnel, Main Range National Park, SEQ.",50.0,17643,Camera trapping - threatened species bushfire project,1,Queensland Parks and Wildlife Service,QPWS,2020
3164,152.19263,-27.262091,Phascolarctos cinereus,1969780.0,20200126000000,20200126000000.0,1726945.0,INCIDENTAL,"Lake Creesbrook Boat Ramp, Cressbrook Dam; approx. 14km east of Crows Nest",150.0,17100,Stacey McLean Incidental Records,199,Private Individual,,2020
3165,152.97273,-27.27211,Phascolarctos cinereus,1965977.0,20190113000000,20190113000000.0,1723463.0,INCIDENTAL,"Sweeney Reserve, Petrie",30.0,14499,Terry Reis Incidental Records,199,Private Individual,,2019
3166,149.49243,-22.46725,Phascolarctos cinereus,1965999.0,20190629000000,20190629000000.0,1723485.0,INCIDENTAL,north of Wumalgi Road,200.0,14499,Terry Reis Incidental Records,199,Private Individual,,2019
3167,152.97423,-27.26407,Phascolarctos cinereus,1966000.0,20190723000000,20190723000000.0,1723200.0,INCIDENTAL,Champagne Street Petrie,30.0,14499,Terry Reis Incidental Records,199,Private Individual,,2019
3168,152.9043,-27.12888,Phascolarctos cinereus,1980875.0,20200328000000,20200328000000.0,1733976.0,INCIDENTAL,Sheep Station Creek Conservation Park,40.0,14499,Terry Reis Incidental Records,199,Private Individual,,2020
3169,152.44037,-27.41488,Phascolarctos cinereus,1980876.0,20200329000000,20200329000000.0,1733977.0,INCIDENTAL,Atkinson's Dam,100.0,14499,Terry Reis Incidental Records,199,Private Individual,,2020
3170,152.59024,-27.4694,Phascolarctos cinereus,1980877.0,20200329000000,20200329000000.0,1733978.0,INCIDENTAL,Lowood,30.0,14499,Terry Reis Incidental Records,199,Private Individual,,2020
3171,153.04533,-27.55123,Phascolarctos cinereus,1980883.0,20200504000000,20200504000000.0,1733984.0,INCIDENTAL,Toohey Forest,30.0,14499,Terry Reis Incidental Records,199,Private Individual,,2020
3172,145.452496,-17.535123,Phascolarctos cinereus,1980458.0,20200713000000,20200713000000.0,1733814.0,INCIDENTAL,"Tumoulin Rd, 8.5 km direct line NNW of Ravenshoe",50.0,12213,Winter,199,Private Individual,,2020
3176,153.05286,-27.54013,Phascolarctos cinereus,2006458.0,20200803000000,20200803000000.0,1737621.0,INCIDENTAL,Toohey Forest,100.0,17100,Stacey McLean Incidental Records,199,Private Individual,,2020
3177,153.05286,-27.54013,Phascolarctos cinereus,2006459.0,20200808000000,20200808000000.0,1737621.0,INCIDENTAL,Toohey Forest,100.0,17100,Stacey McLean Incidental Records,199,Private Individual,,2020
3179,153.058,-27.547,Phascolarctos cinereus,2009646.0,20201106000000,20201106000000.0,1740448.0,INCIDENTAL,Toohey Forest,100.0,17100,Stacey McLean Incidental Records,199,Private Individual,,2020
3180,153.058,-27.547,Phascolarctos cinereus,2009646.0,20201106000000,20201106000000.0,1740448.0,INCIDENTAL,Toohey Forest,100.0,17100,Stacey McLean Incidental Records,199,Private Individual,,2020
3181,153.04891,-27.54156,Phascolarctos cinereus,2009652.0,20201220000000,20201220000000.0,1740454.0,INCIDENTAL,Toohey Forest,100.0,17100,Stacey McLean Incidental Records,199,Private Individual,,2020
3182,152.9265,-27.2841,Phascolarctos cinereus,2009653.0,20201227000000,20201227000000.0,1740455.0,INCIDENTAL,Lake Samsonvale,10.0,17100,Stacey McLean Incidental Records,199,Private Individual,,2020
3183,152.9614,-27.27645,Phascolarctos cinereus,2006547.0,20201130000000,20201130000000.0,1737716.0,INCIDENTAL,"Mungarra Reserve, Petrie",30.0,14499,Terry Reis Incidental Records,199,Private Individual,,2020
4672,152.21935,-27.54938,Phascolarctos cinereus,1962401.0,20190526000000,20190526000000.0,1721126.0,INCIDENTAL,"Gatton Bypass, Sandy Creek",10.0,15779,TMR Darling Downs District Wildlife Records,1981,Department of Transport and Main Roads,DTMR,2019
4678,152.156892,-27.551825,Phascolarctos cinereus,2047868.0,20190623000000,20190623000000.0,1771936.0,INCIDENTAL,"Gatton Bypass on the Warrego Highway, Ipswich to Toowoomba",10.0,15779,TMR Darling Downs District Wildlife Records,1981,Department of Transport and Main Roads,DTMR,2019
4679,151.9802,-28.8221,Phascolarctos cinereus,2047882.0,20190601000000,20190601000000.0,1771950.0,INCIDENTAL,"Observed in tree beside Mt Norman Road, 20m from Pyramids Road intersection.",50.0,15779,TMR Darling Downs District Wildlife Records,1981,Department of Transport and Main Roads,DTMR,2019
4680,152.1569202,-27.5518077,Phascolarctos cinereus,2047883.0,20190623000000,20190623000000.0,1771951.0,INCIDENTAL,"Warrego Highway Gatton Bypass, eastbound roadside.",10.0,15779,TMR Darling Downs District Wildlife Records,1981,Department of Transport and Main Roads,DTMR,2019
4681,151.798451,-27.494558,Phascolarctos cinereus,2047884.0,20190815000000,20190815000000.0,1771952.0,INCIDENTAL,Warrego Highway west of Toowoomba in the Kingsthorpe area. Approximately 920m west of Kingsthorpe Haden Road,10.0,15779,TMR Darling Downs District Wildlife Records,1981,Department of Transport and Main Roads,DTMR,2019
4682,152.123448,-27.553039,Phascolarctos cinereus,2047885.0,20190826000000,20190826000000.0,1771953.0,INCIDENTAL,"Warrego Highway at Helidon, on Lockyer Creek bridge, eastbound",10.0,15779,TMR Darling Downs District Wildlife Records,1981,Department of Transport and Main Roads,DTMR,2019
4683,152.080944,-27.544922,Phascolarctos cinereus,2047886.0,20190902000000,20190902000000.0,1771954.0,INCIDENTAL,Warrego Highway eastbound at Helidon Spar,10.0,15779,TMR Darling Downs District Wildlife Records,1981,Department of Transport and Main Roads,DTMR,2019
4684,152.255473,-27.534876,Phascolarctos cinereus,2047887.0,20190904000000,20190904000000.0,1771955.0,INCIDENTAL,"Warrego Highway, Gatton Bypass",10.0,15779,TMR Darling Downs District Wildlife Records,1981,Department of Transport and Main Roads,DTMR,2019
4685,151.991366,-27.569237,Phascolarctos cinereus,2047888.0,20190912000000,20190912000000.0,1771956.0,INCIDENTAL,"Warrego Highway, TMR road chainage 89.59km",10.0,15779,TMR Darling Downs District Wildlife Records,1981,Department of Transport and Main Roads,DTMR,2019
4686,152.249389,-27.537329,Phascolarctos cinereus,2047892.0,20190913000000,20190913000000.0,1771960.0,INCIDENTAL,"Warrego Highway, Gatton Bypass",10.0,15779,TMR Darling Downs District Wildlife Records,1981,Department of Transport and Main Roads,DTMR,2019
4687,151.95626,-27.50947,Phascolarctos cinereus,2047893.0,20190922000000,20190922000000.0,1771961.0,INCIDENTAL,New England Highway (Mt Kynoch),10.0,15779,TMR Darling Downs District Wildlife Records,1981,Department of Transport and Main Roads,DTMR,2019
4688,151.973422,-28.107472,Phascolarctos cinereus,2047894.0,20190922000000,20190922000000.0,1771962.0,INCIDENTAL,"Within Kirklands Road road reserve, approx. 120m south from Shepherds Drive.",10.0,15779,TMR Darling Downs District Wildlife Records,1981,Department of Transport and Main Roads,DTMR,2019
4689,151.88057,-27.51106,Phascolarctos cinereus,2047895.0,20191004000000,20191004000000.0,1771963.0,INCIDENTAL,Toowoomba Bypass east bound lanes just before the Gowrie Junction Bridge,10.0,15779,TMR Darling Downs District Wildlife Records,1981,Department of Transport and Main Roads,DTMR,2019
4690,152.10698,-27.37086,Phascolarctos cinereus,2047896.0,20191010000000,20191010000000.0,1771964.0,INCIDENTAL,Esk - Hampton Rd between Clive Rd and Perseverance Hall Rd,10.0,15779,TMR Darling Downs District Wildlife Records,1981,Department of Transport and Main Roads,DTMR,2019
4691,152.017505,-27.379184,Phascolarctos cinereus,2047900.0,20200827000000,20200827000000.0,1771968.0,INCIDENTAL,"New England Highway, passing lane just to the north of the Geham Dump",10.0,15779,TMR Darling Downs District Wildlife Records,1981,Department of Transport and Main Roads,DTMR,2020
4692,151.97636389,-26.155777778,Phascolarctos cinereus,2055500.0,20200731023817,20200731023817.0,1777133.0,INCIDENTAL,Not recorded,100.0,17619,Koalas,2621,Gympie Regional Council,GRC,2020
4693,152.68109122,-26.450907047,Phascolarctos cinereus,2055501.0,20200810074243,20200810074243.0,1777134.0,INCIDENTAL,Not recorded,100.0,17619,Koalas,2621,Gympie Regional Council,GRC,2020
4694,152.72790675,-26.414301227,Phascolarctos cinereus,2055502.0,20200812081355,20200812081355.0,1777135.0,INCIDENTAL,Not recorded,100.0,17619,Koalas,2621,Gympie Regional Council,GRC,2020
4695,152.70877966,-26.348710725,Phascolarctos cinereus,2055503.0,20200806085100,20200806085100.0,1777136.0,INCIDENTAL,Not recorded,100.0,17619,Koalas,2621,Gympie Regional Council,GRC,2020
4696,152.7079212,-26.341765858,Phascolarctos cinereus,2055504.0,20200816100233,20200816100233.0,1777137.0,INCIDENTAL,Not recorded,100.0,17619,Koalas,2621,Gympie Regional Council,GRC,2020
4697,152.67122197,-26.395941766,Phascolarctos cinereus,2055505.0,20200818002451,20200818002451.0,1777138.0,INCIDENTAL,Not recorded,100.0,17619,Koalas,2621,Gympie Regional Council,GRC,2020
4698,152.54521111,-26.216019444,Phascolarctos cinereus,2055506.0,20200821101321,20200821101321.0,1777139.0,INCIDENTAL,Not recorded,100.0,17619,Koalas,2621,Gympie Regional Council,GRC,2020
4699,152.67908139,-26.168468056,Phascolarctos cinereus,2055507.0,20200821101527,20200821101527.0,1777140.0,INCIDENTAL,Not recorded,100.0,17619,Koalas,2621,Gympie Regional Council,GRC,2020
